Date,Is_Sick,Dawn_Effect_Intensity,Illness_BG_Boost
2025-06-01,0,0.88,0.0
2025-06-02,0,1.17,0.0
2025-06-03,0,1.2,0.0
2025-06-04,0,0.53,0.0
2025-06-05,1,0.7,2.05
2025-06-06,0,0.42,0.0
2025-06-07,0,1.18,0.0
2025-06-08,0,0.92,0.0
2025-06-09,0,0.79,0.0
2025-06-10,0,0.34,0.0
2025-06-11,0,1.06,0.0
2025-06-12,0,0.7,0.0
2025-06-13,0,0.44,0.0
2025-06-14,1,0.84,2.68
2025-06-15,0,0.59,0.0
2025-06-16,0,1.17,0.0
2025-06-17,0,0.65,0.0
2025-06-18,0,0.51,0.0
2025-06-19,0,0.66,0.0
2025-06-20,0,0.44,0.0
2025-06-21,0,0.37,0.0
2025-06-22,0,0.69,0.0
2025-06-23,0,1.08,0.0
2025-06-24,0,1.1,0.0
2025-06-25,0,1.02,0.0
2025-06-26,0,0.38,0.0
2025-06-27,0,0.4,0.0
2025-06-28,0,0.78,0.0
2025-06-29,0,0.76,0.0
2025-06-30,0,1.17,0.0
2025-07-01,0,0.79,0.0
2025-07-02,0,0.55,0.0
2025-07-03,0,0.74,0.0
2025-07-04,0,1.05,0.0
2025-07-05,0,0.47,0.0
2025-07-06,0,0.55,0.0
2025-07-07,0,0.46,0.0
2025-07-08,0,0.63,0.0
2025-07-09,0,0.89,0.0
2025-07-10,0,0.69,0.0
2025-07-11,0,1.2,0.0
2025-07-12,0,0.49,0.0
2025-07-13,0,0.59,0.0
2025-07-14,0,1.04,0.0
2025-07-15,0,1.03,0.0
2025-07-16,1,1.04,1.6
2025-07-17,0,1.12,0.0
2025-07-18,0,0.9,0.0
2025-07-19,0,0.69,0.0
2025-07-20,0,0.61,0.0
