Meal_ID,Timestamp,Meal_Type,Carbs_g
2025-06-01_Breakfast,2025-06-01 08:15:00,Breakfast,25
2025-06-01_Lunch,2025-06-01 12:45:00,Lunch,57
2025-06-01_Dinner,2025-06-01 18:30:00,Dinner,50
2025-06-01_Snack,2025-06-01 15:30:00,Snack,13
2025-06-02_Breakfast,2025-06-02 08:15:00,Breakfast,26
2025-06-02_Lunch,2025-06-02 12:45:00,Lunch,62
2025-06-02_Dinner,2025-06-02 18:30:00,Dinner,48
2025-06-03_Breakfast,2025-06-03 08:15:00,Breakfast,42
2025-06-03_Lunch,2025-06-03 12:45:00,Lunch,61
2025-06-03_Dinner,2025-06-03 18:30:00,Dinner,57
2025-06-04_Breakfast,2025-06-04 08:15:00,Breakfast,49
2025-06-04_Lunch,2025-06-04 12:45:00,Lunch,48
2025-06-04_Dinner,2025-06-04 18:30:00,Dinner,75
2025-06-04_Snack,2025-06-04 15:30:00,Snack,11
2025-06-05_Breakfast,2025-06-05 08:15:00,Breakfast,54
2025-06-05_Lunch,2025-06-05 12:45:00,Lunch,76
2025-06-05_Dinner,2025-06-05 18:30:00,Dinner,75
2025-06-06_Breakfast,2025-06-06 08:15:00,Breakfast,27
2025-06-06_Lunch,2025-06-06 12:45:00,Lunch,68
2025-06-06_Dinner,2025-06-06 18:30:00,Dinner,46
2025-06-07_Breakfast,2025-06-07 08:15:00,Breakfast,34
2025-06-07_Lunch,2025-06-07 12:45:00,Lunch,69
2025-06-07_Dinner,2025-06-07 18:30:00,Dinner,69
2025-06-08_Breakfast,2025-06-08 08:15:00,Breakfast,52
2025-06-08_Lunch,2025-06-08 12:45:00,Lunch,45
2025-06-08_Dinner,2025-06-08 18:30:00,Dinner,37
2025-06-08_Snack,2025-06-08 15:30:00,Snack,22
2025-06-09_Breakfast,2025-06-09 08:15:00,Breakfast,38
2025-06-09_Lunch,2025-06-09 12:45:00,Lunch,46
2025-06-09_Dinner,2025-06-09 18:30:00,Dinner,50
2025-06-09_Snack,2025-06-09 15:30:00,Snack,11
2025-06-10_Breakfast,2025-06-10 08:15:00,Breakfast,32
2025-06-10_Lunch,2025-06-10 12:45:00,Lunch,73
2025-06-10_Dinner,2025-06-10 18:30:00,Dinner,61
2025-06-11_Breakfast,2025-06-11 08:15:00,Breakfast,51
2025-06-11_Lunch,2025-06-11 12:45:00,Lunch,73
2025-06-11_Dinner,2025-06-11 18:30:00,Dinner,61
2025-06-12_Breakfast,2025-06-12 08:15:00,Breakfast,28
2025-06-12_Lunch,2025-06-12 12:45:00,Lunch,75
2025-06-12_Dinner,2025-06-12 18:30:00,Dinner,51
2025-06-13_Breakfast,2025-06-13 08:15:00,Breakfast,52
2025-06-13_Lunch,2025-06-13 12:45:00,Lunch,56
2025-06-13_Dinner,2025-06-13 18:30:00,Dinner,35
2025-06-13_Snack,2025-06-13 15:30:00,Snack,14
2025-06-14_Breakfast,2025-06-14 08:15:00,Breakfast,27
2025-06-14_Lunch,2025-06-14 12:45:00,Lunch,54
2025-06-14_Dinner,2025-06-14 18:30:00,Dinner,59
2025-06-15_Breakfast,2025-06-15 08:15:00,Breakfast,34
2025-06-15_Lunch,2025-06-15 12:45:00,Lunch,57
2025-06-15_Dinner,2025-06-15 18:30:00,Dinner,73
