Date,Workout_Type,Intensity,Active_Minutes,Steps,Workout_Start
2025-06-01,Run,Moderate,25,7488,2025-06-01 18:00:00
2025-06-02,Run,Moderate,40,9532,2025-06-02 18:30:00
2025-06-03,Rest,None,0,7118,
2025-06-04,Walk,Light,30,12977,2025-06-04 13:30:00
2025-06-05,Walk,Light,40,14205,2025-06-05 19:00:00
2025-06-06,Walk,Light,20,12692,2025-06-06 19:30:00
2025-06-07,Strength,High,30,11470,2025-06-07 19:15:00
2025-06-08,Walk,Light,30,7154,2025-06-08 13:30:00
2025-06-09,Walk,Light,30,8923,2025-06-09 13:15:00
2025-06-10,Walk,Light,40,8565,2025-06-10 13:30:00
2025-06-11,Run,Moderate,45,11896,2025-06-11 07:15:00
2025-06-12,Rest,None,0,3152,
2025-06-13,Rest,None,0,8285,
2025-06-14,Rest,None,0,6315,
2025-06-15,Rest,None,0,10289,
2025-06-16,Strength,High,50,9213,2025-06-16 17:30:00
2025-06-17,Strength,High,30,9686,2025-06-17 18:15:00
2025-06-18,Rest,None,0,10584,
2025-06-19,Strength,High,30,10327,2025-06-19 18:15:00
2025-06-20,Strength,High,50,12680,2025-06-20 17:15:00
2025-06-21,Run,Moderate,45,13672,2025-06-21 07:30:00
2025-06-22,Strength,High,40,13765,2025-06-22 18:30:00
2025-06-23,Run,Moderate,45,9049,2025-06-23 18:00:00
2025-06-24,Rest,None,0,11970,
2025-06-25,Walk,Light,30,8682,2025-06-25 13:00:00
2025-06-26,Run,Moderate,40,9869,2025-06-26 18:30:00
2025-06-27,Strength,High,40,7105,2025-06-27 19:15:00
2025-06-28,Run,Moderate,30,9948,2025-06-28 07:00:00
2025-06-29,Rest,None,0,8751,
2025-06-30,Run,Moderate,45,8736,2025-06-30 18:00:00
2025-07-01,Run,Moderate,25,8468,2025-07-01 07:00:00
2025-07-02,Run,Moderate,40,10373,2025-07-02 07:30:00
2025-07-03,Strength,High,50,9396,2025-07-03 17:15:00
2025-07-04,Walk,Light,40,14594,2025-07-04 19:30:00
2025-07-05,Strength,High,50,7052,2025-07-05 19:00:00
2025-07-06,Run,Moderate,40,14133,2025-07-06 07:30:00
2025-07-07,Rest,None,0,3113,
2025-07-08,Strength,High,40,15209,2025-07-08 19:00:00
2025-07-09,Rest,None,0,6559,
2025-07-10,Rest,None,0,7519,
2025-07-11,Walk,Light,30,8072,2025-07-11 19:00:00
2025-07-12,Walk,Light,30,9870,2025-07-12 19:15:00
2025-07-13,Strength,High,50,14364,2025-07-13 18:00:00
2025-07-14,Strength,High,50,8700,2025-07-14 17:30:00
2025-07-15,Rest,None,0,10521,
2025-07-16,Run,Moderate,30,13289,2025-07-16 07:30:00
2025-07-17,Walk,Light,40,9548,2025-07-17 13:00:00
2025-07-18,Rest,None,0,10730,
2025-07-19,Strength,High,40,9566,2025-07-19 19:15:00
2025-07-20,Walk,Light,40,11358,2025-07-20 13:15:00
2025-07-21,Rest,None,0,6051,
2025-07-22,Rest,None,0,5357,
2025-07-23,Rest,None,0,9563,
2025-07-24,Walk,Light,20,14933,2025-07-24 19:30:00
2025-07-25,Run,Moderate,45,7998,2025-07-25 07:30:00
2025-07-26,Run,Moderate,45,10495,2025-07-26 18:30:00
2025-07-27,Rest,None,0,5800,
2025-07-28,Walk,Light,30,7914,2025-07-28 19:00:00
2025-07-29,Run,Moderate,40,8502,2025-07-29 07:00:00
2025-07-30,Rest,None,0,5677,
2025-07-31,Run,Moderate,25,13522,2025-07-31 07:15:00
2025-08-01,Walk,Light,30,15938,2025-08-01 19:30:00
2025-08-02,Walk,Light,20,13196,2025-08-02 19:30:00
2025-08-03,Rest,None,0,10595,
2025-08-04,Walk,Light,30,13199,2025-08-04 19:30:00
2025-08-05,Run,Moderate,45,8600,2025-08-05 07:00:00
2025-08-06,Walk,Light,30,8074,2025-08-06 19:00:00
2025-08-07,Walk,Light,20,8272,2025-08-07 19:30:00
2025-08-08,Rest,None,0,10394,
2025-08-09,Run,Moderate,25,13090,2025-08-09 07:30:00
2025-08-10,Run,Moderate,45,10061,2025-08-10 18:30:00
2025-08-11,Strength,High,40,14978,2025-08-11 19:15:00
2025-08-12,Strength,High,40,11885,2025-08-12 19:15:00
2025-08-13,Rest,None,0,3516,
2025-08-14,Run,Moderate,30,7070,2025-08-14 18:15:00
2025-08-15,Rest,None,0,3471,
2025-08-16,Run,Moderate,40,13466,2025-08-16 18:00:00
2025-08-17,Rest,None,0,8712,
2025-08-18,Run,Moderate,40,13020,2025-08-18 18:15:00
2025-08-19,Walk,Light,30,8326,2025-08-19 19:30:00
2025-08-20,Run,Moderate,45,8259,2025-08-20 07:00:00
2025-08-21,Rest,None,0,9425,
2025-08-22,Rest,None,0,8854,
2025-08-23,Rest,None,0,9452,
2025-08-24,Walk,Light,40,13697,2025-08-24 13:30:00
2025-08-25,Strength,High,30,15356,2025-08-25 19:30:00
2025-08-26,Walk,Light,30,10189,2025-08-26 13:00:00
2025-08-27,Rest,None,0,10887,
